	X	Runs	Mins	BF	X4s	X6s	SR	Pos	Dismissal	Inns	Opposition	Ground	Start.Date	Player	Country	Type	Overs	Mdns	Wkts	Econ	Source_Sheet
	1	5	17	7	1	0	71.42	2	caught	1	v South Africa	Hobart	18-Jan-09	David Warner	Australia	Batting					David Warner
	2	69	96	60	6	2	115	2	bowled	1	v South Africa	Sydney	23-Jan-09	David Warner	Australia	Batting					David Warner
	3	1	9	7	0	0	14.28	2	caught	1	v South Africa	Adelaide	26-Jan-09	David Warner	Australia	Batting					David Warner
	4	22	58	29	1	1	75.86	2	run out	2	v South Africa	W.A.C.A	30-Jan-09	David Warner	Australia	Batting					David Warner
	5	7	36	18	0	0	38.88	2	caught	1	v New Zealand	W.A.C.A	01-Feb-09	David Warner	Australia	Batting					David Warner
	6	2	10	11	0	0	18.18	1	caught	1	v New Zealand	Melbourne	06-Feb-09	David Warner	Australia	Batting					David Warner
	7	0	3	5	0	0	0	2	caught	1	v Scotland	Edinburgh	28-Aug-09	David Warner	Australia	Batting					David Warner
	8	20	12	17	4	0	117.64	1	bowled	1	v South Africa	Centurion	19-Oct-11	David Warner	Australia	Batting					David Warner
	9	74	136	97	6	0	76.28	1	caught	2	v South Africa	Gqeberha	23-Oct-11	David Warner	Australia	Batting					David Warner
	10	10	29	18	1	0	55.55	2	caught	2	v South Africa	Durban	28-Oct-11	David Warner	Australia	Batting					David Warner
	11	6	24	14	0	0	42.85	2	bowled	1	v India	Melbourne	05-Feb-12	David Warner	Australia	Batting					David Warner
	12	34	45	29	4	1	117.24	1	bowled	1	v Sri Lanka	W.A.C.A	10-Feb-12	David Warner	Australia	Batting					David Warner
	13	18	46	24	2	0	75	1	run out	1	v India	Adelaide	12-Feb-12	David Warner	Australia	Batting					David Warner
	14	13	23	21	2	0	61.9	1	caught	1	v Sri Lanka	Sydney	17-Feb-12	David Warner	Australia	Batting					David Warner
	15	43	58	46	5	1	93.47	2	caught	1	v India	Brisbane	19-Feb-12	David Warner	Australia	Batting					David Warner
	16	7	30	13	0	0	53.84	2	caught	1	v Sri Lanka	Hobart	24-Feb-12	David Warner	Australia	Batting					David Warner
	17	68	98	66	7	0	103.03	1	caught	1	v India	Sydney	26-Feb-12	David Warner	Australia	Batting					David Warner
	18	6	11	6	1	0	100	2	caught	2	v Sri Lanka	Melbourne	02-Mar-12	David Warner	Australia	Batting					David Warner
	19	163	219	157	13	2	103.82	1	bowled	1	v Sri Lanka	Brisbane	04-Mar-12	David Warner	Australia	Batting					David Warner
	20	100	184	140	4	1	71.42	2	caught	1	v Sri Lanka	Adelaide	06-Mar-12	David Warner	Australia	Batting					David Warner
	21	48	57	45	5	1	106.66	2	caught	1	v Sri Lanka	Adelaide	08-Mar-12	David Warner	Australia	Batting					David Warner
	22	40	103	55	5	0	72.72	2	caught	1	v West Indies	Kingstown	16-Mar-12	David Warner	Australia	Batting					David Warner
	23	13	27	20	1	0	65	2	bowled	1	v West Indies	Kingstown	18-Mar-12	David Warner	Australia	Batting					David Warner
	24	37	59	51	6	0	72.54	2	caught	1	v West Indies	Kingstown	20-Mar-12	David Warner	Australia	Batting					David Warner
	25	1	6	4	0	0	25	2	caught	2	v West Indies	Gros Islet	23-Mar-12	David Warner	Australia	Batting					David Warner
	26	69	83	61	10	1	113.11	2	caught	1	v West Indies	Gros Islet	25-Mar-12	David Warner	Australia	Batting					David Warner
	27		-	-	-	-	-	-	-	-	v Ireland	Belfast	23-Jun-12	David Warner	Australia	Batting					David Warner
	28	56	94	61	6	1	91.8	2	caught	2	v England	Lord's	29-Jun-12	David Warner	Australia	Batting					David Warner
	29	10	18	20	2	0	50	2	caught	1	v England	The Oval	01-Jul-12	David Warner	Australia	Batting					David Warner
	30	2	21	19	0	0	10.52	2	lbw	1	v England	Chester-le-Street	07-Jul-12	David Warner	Australia	Batting					David Warner
	31	32	46	32	4	1	100	2	lbw	1	v England	Manchester	10-Jul-12	David Warner	Australia	Batting					David Warner
	32	24	15	18	4	0	133.33	2	caught	1	v Afghanistan	Sharjah	25-Aug-12	David Warner	Australia	Batting					David Warner
	33	5	12	11	1	0	45.45	1	bowled	2	v Pakistan	Sharjah	28-Aug-12	David Warner	Australia	Batting					David Warner
	34	24	89	68	2	0	35.29	2	lbw	1	v Pakistan	Abu Dhabi	31-Aug-12	David Warner	Australia	Batting					David Warner
	35	21	34	33	3	1	63.63	1	caught	2	v Pakistan	Sharjah	03-Sep-12	David Warner	Australia	Batting					David Warner
	36	4	8	11	0	0	36.36	1	caught	1	v Sri Lanka	Brisbane	18-Jan-13	David Warner	Australia	Batting					David Warner
	37	60	132	73	6	0	82.19	1	lbw	1	v Sri Lanka	Sydney	20-Jan-13	David Warner	Australia	Batting					David Warner
	38	10	22	18	1	0	55.55	2	bowled	1	v Sri Lanka	Hobart	23-Jan-13	David Warner	Australia	Batting					David Warner
	39	9	23	21	1	0	42.85	1	caught	2	v England	Birmingham	08-Jun-13	David Warner	Australia	Batting					David Warner
	40	65	121	72	5	1	90.27	2	caught	2	v England	Melbourne	12-Jan-14	David Warner	Australia	Batting					David Warner
	41	18	23	14	2	0	128.57	1	caught	2	v England	Brisbane	17-Jan-14	David Warner	Australia	Batting					David Warner
	42	71	85	70	7	2	101.42	2	caught	2	v England	Sydney	19-Jan-14	David Warner	Australia	Batting					David Warner
	43	43	78	63	5	0	68.25	2	caught	1	v Pakistan	Sharjah	07-Oct-14	David Warner	Australia	Batting					David Warner
	44	29	58	27	5	0	107.4	1	caught	2	v Pakistan	Dubai (DICS)	10-Oct-14	David Warner	Australia	Batting					David Warner
	45	56	93	63	6	1	88.88	2	caught	1	v Pakistan	Abu Dhabi	12-Oct-14	David Warner	Australia	Batting					David Warner
	46	46	68	49	1	3	93.87	1	caught	1	v South Africa	W.A.C.A	14-Nov-14	David Warner	Australia	Batting					David Warner
	47	0	6	5	0	0	0	1	caught	1	v South Africa	W.A.C.A	16-Nov-14	David Warner	Australia	Batting					David Warner
	48	53	88	50	6	2	106	2	caught	1	v South Africa	Canberra	19-Nov-14	David Warner	Australia	Batting					David Warner
	49	4	14	8	0	0	50	2	lbw	2	v South Africa	Melbourne	21-Nov-14	David Warner	Australia	Batting					David Warner
	50	21	18	16	3	1	131.25	1	caught	2	v South Africa	Sydney	23-Nov-14	David Warner	Australia	Batting					David Warner
	51	127	169	115	18	0	110.43	1	caught	2	v England	Sydney	16-Jan-15	David Warner	Australia	Batting					David Warner
	52	24	41	22	3	0	109.09	2	caught	2	v India	Melbourne	18-Jan-15	David Warner	Australia	Batting					David Warner
	53		-	-	-	-	-	-	-	-	v India	Sydney	26-Jan-15	David Warner	Australia	Batting					David Warner
	54	12	25	18	2	0	66.66	2	caught	1	v England	W.A.C.A	01-Feb-15	David Warner	Australia	Batting					David Warner
	55	22	34	18	3	0	122.22	1	bowled	1	v England	Melbourne	14-Feb-15	David Warner	Australia	Batting					David Warner
	56	34	58	42	2	1	80.95	2	lbw	1	v New Zealand	Auckland	28-Feb-15	David Warner	Australia	Batting					David Warner
	57	178	164	133	19	5	133.83	1	caught	1	v Afghanistan	W.A.C.A	04-Mar-15	David Warner	Australia	Batting					David Warner
	58	9	16	12	1	0	75	2	caught	1	v Sri Lanka	Sydney	08-Mar-15	David Warner	Australia	Batting					David Warner
	59		11	6	2	2	350	5	not out	2	v Scotland	Hobart	14-Mar-15	David Warner	Australia	Batting					David Warner
	60	24	41	23	3	0	104.34	1	caught	2	v Pakistan	Adelaide	20-Mar-15	David Warner	Australia	Batting					David Warner
	61	12	14	7	1	1	171.42	2	caught	1	v India	Sydney	26-Mar-15	David Warner	Australia	Batting					David Warner
	62	45	51	46	7	0	97.82	1	caught	2	v New Zealand	Melbourne	29-Mar-15	David Warner	Australia	Batting					David Warner
	63	84	112	80	7	3	105	2	caught	1	v Ireland	Belfast	27-Aug-15	David Warner	Australia	Batting					David Warner
	64	59	108	67	6	0	88.05	2	caught	1	v England	Southampton	03-Sep-15	David Warner	Australia	Batting					David Warner
	65		1	1	0	0	100	2	retired notout	1	v England	Lord's	05-Sep-15	David Warner	Australia	Batting					David Warner
	66	5	20	10	1	0	50	2	caught	2	v India	W.A.C.A	12-Jan-16	David Warner	Australia	Batting					David Warner
	67	93	120	92	12	1	101.08	1	bowled	1	v India	Canberra	20-Jan-16	David Warner	Australia	Batting					David Warner
	68	122	171	113	9	3	107.96	2	caught	1	v India	Sydney	23-Jan-16	David Warner	Australia	Batting					David Warner
	69	12	28	11	2	0	109.09	2	lbw	2	v New Zealand	Auckland	03-Feb-16	David Warner	Australia	Batting					David Warner
	70	98	120	79	8	4	124.05	2	lbw	2	v New Zealand	Wellington	06-Feb-16	David Warner	Australia	Batting					David Warner
	71	16	19	14	3	0	114.28	2	caught	2	v New Zealand	Hamilton	08-Feb-16	David Warner	Australia	Batting					David Warner
	72		110	55	3	1	100	1	not out	2	v West Indies	Providence	05-Jun-16	David Warner	Australia	Batting					David Warner
	73	1	7	5	0	0	20	1	lbw	2	v South Africa	Providence	07-Jun-16	David Warner	Australia	Batting					David Warner
	74	109	157	120	11	2	90.83	1	caught	1	v South Africa	Basseterre	11-Jun-16	David Warner	Australia	Batting					David Warner
	75	8	29	17	0	0	47.05	1	caught	2	v Sri Lanka	Colombo (RPS)	21-Aug-16	David Warner	Australia	Batting					David Warner
	76	1	5	4	0	0	25	1	caught	2	v Sri Lanka	Colombo (RPS)	24-Aug-16	David Warner	Australia	Batting					David Warner
	77	10	21	12	1	0	83.33	1	caught	2	v Sri Lanka	Dambulla	28-Aug-16	David Warner	Australia	Batting					David Warner
	78	19	36	16	3	0	118.75	1	bowled	2	v Sri Lanka	Dambulla	31-Aug-16	David Warner	Australia	Batting					David Warner
	79	106	167	126	9	0	84.12	1	caught	2	v Sri Lanka	Pallekele	04-Sep-16	David Warner	Australia	Batting					David Warner
	80	48	38	30	5	2	160	2	caught	2	v Ireland	Benoni	27-Sep-16	David Warner	Australia	Batting					David Warner
	81	40	41	36	5	1	111.11	1	caught	1	v South Africa	Centurion	30-Sep-16	David Warner	Australia	Batting					David Warner
	82	50	93	56	7	1	89.28	2	caught	2	v South Africa	Johannesburg	02-Oct-16	David Warner	Australia	Batting					David Warner
	83	117	139	107	13	2	109.34	1	caught	1	v South Africa	Durban	05-Oct-16	David Warner	Australia	Batting					David Warner
	84	6	10	5	1	0	120	2	bowled	1	v South Africa	Gqeberha	09-Oct-16	David Warner	Australia	Batting					David Warner
	85	173	218	136	24	0	127.2	1	run out	2	v South Africa	Cape Town	12-Oct-16	David Warner	Australia	Batting					David Warner
	86	24	43	29	4	0	82.75	1	bowled	1	v New Zealand	Sydney	04-Dec-16	David Warner	Australia	Batting					David Warner
	87	119	149	115	14	1	103.47	1	caught	1	v New Zealand	Canberra	06-Dec-16	David Warner	Australia	Batting					David Warner
	88	156	214	128	13	4	121.87	1	run out	1	v New Zealand	Melbourne	09-Dec-16	David Warner	Australia	Batting					David Warner
	89	7	19	18	1	0	38.88	1	bowled	1	v Pakistan	Brisbane	13-Jan-17	David Warner	Australia	Batting					David Warner
	90	16	27	22	1	0	72.72	2	caught	1	v Pakistan	Melbourne	15-Jan-17	David Warner	Australia	Batting					David Warner
	91	35	36	38	5	0	92.1	1	caught	2	v Pakistan	W.A.C.A	19-Jan-17	David Warner	Australia	Batting					David Warner
	92	130	156	119	11	2	109.24	2	caught	1	v Pakistan	Sydney	22-Jan-17	David Warner	Australia	Batting					David Warner
	93	179	186	128	19	5	139.84	1	caught	1	v Pakistan	Adelaide	26-Jan-17	David Warner	Australia	Batting					David Warner
	94	18	21	16	1	1	112.5	1	caught	2	v New Zealand	Birmingham	02-Jun-17	David Warner	Australia	Batting					David Warner
	95		75	44	2	0	90.9	1	not out	2	v Bangladesh	The Oval	05-Jun-17	David Warner	Australia	Batting					David Warner
	96	21	29	25	4	0	84	1	caught	1	v England	Birmingham	10-Jun-17	David Warner	Australia	Batting					David Warner
	97	25	47	28	2	0	89.28	1	caught	2	v India	Chennai	17-Sep-17	David Warner	Australia	Batting					David Warner
	98	1	22	9	0	0	11.11	2	caught	2	v India	Eden Gardens	21-Sep-17	David Warner	Australia	Batting					David Warner
	99	42	59	44	4	1	95.45	1	bowled	1	v India	Indore	24-Sep-17	David Warner	Australia	Batting					David Warner
	100	124	134	119	12	4	104.2	2	caught	1	v India	Bengaluru	28-Sep-17	David Warner	Australia	Batting					David Warner
	101	53	91	62	5	0	85.48	1	caught	1	v India	Nagpur	01-Oct-17	David Warner	Australia	Batting					David Warner
	102	2	8	5	0	0	40	2	caught	1	v England	Melbourne	14-Jan-18	David Warner	Australia	Batting					David Warner
	103	35	-	40	5	0	87.5	1	caught	1	v England	Brisbane	19-Jan-18	David Warner	Australia	Batting					David Warner
	104	8	-	10	2	0	80	2	caught	2	v England	Sydney	21-Jan-18	David Warner	Australia	Batting					David Warner
	105	13	-	11	2	0	118.18	1	caught	2	v England	Adelaide	26-Jan-18	David Warner	Australia	Batting					David Warner
	106	15	-	11	2	0	136.36	1	bowled	2	v England	Perth	28-Jan-18	David Warner	Australia	Batting					David Warner
	107		131	114	8	0	78.07	2	not out	2	v Afghanistan	Bristol	01-Jun-19	David Warner	Australia	Batting					David Warner
	108	3	24	8	0	0	37.5	1	caught	1	v West Indies	Nottingham	06-Jun-19	David Warner	Australia	Batting					David Warner
	109	56	111	84	5	0	66.66	1	caught	2	v India	The Oval	09-Jun-19	David Warner	Australia	Batting					David Warner
	110	107	161	111	11	1	96.39	2	caught	1	v Pakistan	Taunton	12-Jun-19	David Warner	Australia	Batting					David Warner
	111	26	70	48	2	0	54.16	1	bowled	1	v Sri Lanka	The Oval	15-Jun-19	David Warner	Australia	Batting					David Warner
	112	166	184	147	14	5	112.92	1	caught	1	v Bangladesh	Nottingham	20-Jun-19	David Warner	Australia	Batting					David Warner
	113	53	95	61	6	0	86.88	2	caught	1	v England	Lord's	25-Jun-19	David Warner	Australia	Batting					David Warner
	114	16	39	23	3	0	69.56	1	caught	1	v New Zealand	Lord's	29-Jun-19	David Warner	Australia	Batting					David Warner
	115	122	168	117	15	2	104.27	1	caught	2	v South Africa	Manchester	06-Jul-19	David Warner	Australia	Batting					David Warner
	116	9	14	11	2	0	81.81	1	caught	1	v England	Birmingham	11-Jul-19	David Warner	Australia	Batting					David Warner
	117		-	112	17	3	114.28	1	not out	2	v India	Wankhede	14-Jan-20	David Warner	Australia	Batting					David Warner
	118	15	-	12	2	0	125	1	caught	2	v India	Rajkot	17-Jan-20	David Warner	Australia	Batting					David Warner
	119	3	-	7	0	0	42.85	1	caught	1	v India	Bengaluru	19-Jan-20	David Warner	Australia	Batting					David Warner
	120	25	37	27	3	0	92.59	1	caught	2	v South Africa	Paarl	29-Feb-20	David Warner	Australia	Batting					David Warner
	121	35	26	23	4	1	152.17	1	caught	1	v South Africa	Bloemfontein	04-Mar-20	David Warner	Australia	Batting					David Warner
	122	4	18	9	0	0	44.44	1	caught	1	v South Africa	Potchefstroom	07-Mar-20	David Warner	Australia	Batting					David Warner
	123	67	-	88	9	0	76.13	1	caught	1	v New Zealand	Sydney	13-Mar-20	David Warner	Australia	Batting					David Warner
	124	6	15	14	0	0	42.85	1	bowled	1	v England	Manchester	11-Sep-20	David Warner	Australia	Batting					David Warner
	125	6	17	11	0	0	54.54	1	caught	2	v England	Manchester	13-Sep-20	David Warner	Australia	Batting					David Warner
	126	24	51	32	3	0	75	1	bowled	2	v England	Manchester	16-Sep-20	David Warner	Australia	Batting					David Warner
	127	69	-	76	6	0	90.78	1	caught	1	v India	Sydney	27-Nov-20	David Warner	Australia	Batting					David Warner
	128	83	-	77	7	3	107.79	1	run out	1	v India	Sydney	29-Nov-20	David Warner	Australia	Batting					David Warner
	129	0	8	3	0	0	0	1	lbw	2	v Sri Lanka	Pallekele	14-Jun-22	David Warner	Australia	Batting					David Warner
	130	37	60	51	5	0	72.54	1	bowled	2	v Sri Lanka	Pallekele	16-Jun-22	David Warner	Australia	Batting					David Warner
	131	9	16	12	2	0	75	1	caught	1	v Sri Lanka	Colombo (RPS)	19-Jun-22	David Warner	Australia	Batting					David Warner
	132	99	169	112	12	0	88.39	1	stumped	2	v Sri Lanka	Colombo (RPS)	21-Jun-22	David Warner	Australia	Batting					David Warner
	133	10	17	8	2	0	125	1	caught	2	v Sri Lanka	Colombo (RPS)	24-Jun-22	David Warner	Australia	Batting					David Warner
	134	57	96	66	7	1	86.36	2	bowled	2	v Zimbabwe	Townsville	28-Aug-22	David Warner	Australia	Batting					David Warner
	135	13	10	9	2	0	144.44	1	caught	2	v Zimbabwe	Townsville	31-Aug-22	David Warner	Australia	Batting					David Warner
	136	94	126	96	14	2	97.91	1	caught	1	v Zimbabwe	Townsville	03-Sep-22	David Warner	Australia	Batting					David Warner
	137	20	36	25	2	1	80	1	caught	2	v New Zealand	Cairns	06-Sep-22	David Warner	Australia	Batting					David Warner
	138	5	16	11	1	0	45.45	1	caught	1	v New Zealand	Cairns	08-Sep-22	David Warner	Australia	Batting					David Warner
	139	86	124	84	10	1	102.38	1	caught	2	v England	Adelaide	17-Nov-22	David Warner	Australia	Batting					David Warner
	140	16	25	17	2	0	94.11	1	caught	1	v England	Sydney	19-Nov-22	David Warner	Australia	Batting					David Warner
	141	106	168	102	8	2	103.92	2	caught	1	v England	Melbourne	22-Nov-22	David Warner	Australia	Batting					David Warner
	142	23	57	31	1	0	74.19	4	caught	1	v India	Chennai	22-Mar-23	David Warner	Australia	Batting					David Warner
	143	0	2	2	0	0	0	1	bowled	2	v South Africa	Bloemfontein	07-Sep-23	David Warner	Australia	Batting					David Warner
	144	106	137	93	12	3	113.97	1	bowled	1	v South Africa	Bloemfontein	09-Sep-23	David Warner	Australia	Batting					David Warner
	145	78	80	56	10	3	139.28	1	run out	2	v South Africa	Potchefstroom	12-Sep-23	David Warner	Australia	Batting					David Warner
	146	12	10	13	2	0	92.3	1	caught	2	v South Africa	Centurion	15-Sep-23	David Warner	Australia	Batting					David Warner
	147	10	16	6	1	1	166.66	2	caught	2	v South Africa	Johannesburg	17-Sep-23	David Warner	Australia	Batting					David Warner
	148	52	75	53	6	2	98.11	2	caught	1	v India	Mohali	22-Sep-23	David Warner	Australia	Batting					David Warner
	149	53	65	39	7	1	135.89	2	lbw	2	v India	Indore	24-Sep-23	David Warner	Australia	Batting					David Warner
	150	56	40	34	6	4	164.7	1	caught	1	v India	Rajkot	27-Sep-23	David Warner	Australia	Batting					David Warner
	151	41	76	52	6	0	78.84	1	caught	1	v India	Chennai	08-Oct-23	David Warner	Australia	Batting					David Warner
	152	13	33	27	2	0	48.14	2	caught	2	v South Africa	Lucknow	12-Oct-23	David Warner	Australia	Batting					David Warner
	153	11	16	6	0	1	183.33	2	lbw	2	v Sri Lanka	Lucknow	16-Oct-23	David Warner	Australia	Batting					David Warner
	154	163	180	124	14	9	131.45	1	caught	1	v Pakistan	Bengaluru	20-Oct-23	David Warner	Australia	Batting					David Warner
	155	104	182	93	11	3	111.82	2	caught	1	v Netherlands	Delhi	25-Oct-23	David Warner	Australia	Batting					David Warner
	156	81	77	65	5	6	124.61	1	caught	1	v New Zealand	Dharamsala	28-Oct-23	David Warner	Australia	Batting					David Warner
	157	15	29	16	1	1	93.75	2	caught	1	v England	Ahmedabad	04-Nov-23	David Warner	Australia	Batting					David Warner
	158	18	46	29	3	0	62.06	1	bowled	2	v Afghanistan	Wankhede	07-Nov-23	David Warner	Australia	Batting					David Warner
	159	53	90	61	6	0	86.88	2	caught	2	v Bangladesh	Pune	11-Nov-23	David Warner	Australia	Batting					David Warner
	160	29	29	18	1	4	161.11	2	bowled	2	v South Africa	Eden Gardens	16-Nov-23	David Warner	Australia	Batting					David Warner
	161	7	6	3	1	0	233.33	1	caught	2	v India	Ahmedabad	19-Nov-23	David Warner	Australia	Batting					David Warner
	1	16	42	28	0	0	57.14	1	caught	1	v Sri Lanka	Melbourne	11-Jan-13	Aaron Finch	Australia	Batting					Aaron Finch
	2	4	16	15	0	0	26.66	1	caught	1	v Sri Lanka	Adelaide	13-Jan-13	Aaron Finch	Australia	Batting					Aaron Finch
	3	10	18	6	1	0	166.66	2	caught	2	v West Indies	W.A.C.A	01-Feb-13	Aaron Finch	Australia	Batting					Aaron Finch
	4	11	29	22	2	0	50	1	caught	1	v West Indies	W.A.C.A	03-Feb-13	Aaron Finch	Australia	Batting					Aaron Finch
	5	38	61	41	5	0	92.68	2	caught	1	v West Indies	Canberra	06-Feb-13	Aaron Finch	Australia	Batting					Aaron Finch
	6	25	46	30	5	0	83.33	2	lbw	2	v West Indies	Sydney	08-Feb-13	Aaron Finch	Australia	Batting					Aaron Finch
	7	1	14	5	0	0	20	2	caught	1	v West Indies	Melbourne	10-Feb-13	Aaron Finch	Australia	Batting					Aaron Finch
	8	148	147	114	16	7	129.82	1	caught	1	v Scotland	Edinburgh	03-Sep-13	Aaron Finch	Australia	Batting					Aaron Finch
	9	45	98	45	4	1	100	2	caught	1	v England	Manchester	08-Sep-13	Aaron Finch	Australia	Batting					Aaron Finch
	10		-	-	-	-	-	-	-	-	v England	Birmingham	11-Sep-13	Aaron Finch	Australia	Batting					Aaron Finch
	11	0	1	1	0	0	0	1	lbw	1	v England	Cardiff	14-Sep-13	Aaron Finch	Australia	Batting					Aaron Finch
	12	26	42	32	6	0	81.25	2	caught	1	v England	Southampton	16-Sep-13	Aaron Finch	Australia	Batting					Aaron Finch
	13	72	98	79	8	3	91.13	2	caught	1	v India	Pune	13-Oct-13	Aaron Finch	Australia	Batting					Aaron Finch
	14	50	64	53	7	1	94.33	1	run out	1	v India	Jaipur	16-Oct-13	Aaron Finch	Australia	Batting					Aaron Finch
	15	38	72	44	6	0	86.36	2	lbw	2	v India	Mohali	19-Oct-13	Aaron Finch	Australia	Batting					Aaron Finch
	16	5	7	10	1	0	50	1	bowled	1	v India	Ranchi	23-Oct-13	Aaron Finch	Australia	Batting					Aaron Finch
	17	20	47	28	3	0	71.42	2	bowled	1	v India	Nagpur	30-Oct-13	Aaron Finch	Australia	Batting					Aaron Finch
	18	5	6	5	1	0	100	1	lbw	2	v India	Bengaluru	02-Nov-13	Aaron Finch	Australia	Batting					Aaron Finch
	19	121	180	128	12	0	94.53	1	caught	2	v England	Melbourne	12-Jan-14	Aaron Finch	Australia	Batting					Aaron Finch
	20	0	5	3	0	0	0	2	caught	2	v England	Brisbane	17-Jan-14	Aaron Finch	Australia	Batting					Aaron Finch
	21	22	32	20	3	0	110	1	caught	2	v England	Sydney	19-Jan-14	Aaron Finch	Australia	Batting					Aaron Finch
	22	108	151	111	8	4	97.29	2	caught	2	v England	W.A.C.A	24-Jan-14	Aaron Finch	Australia	Batting					Aaron Finch
	23	7	21	16	1	0	43.75	1	bowled	1	v England	Adelaide	26-Jan-14	Aaron Finch	Australia	Batting					Aaron Finch
	24	67	118	79	5	3	84.81	1	caught	1	v Zimbabwe	Harare	25-Aug-14	Aaron Finch	Australia	Batting					Aaron Finch
	25	102	173	116	9	1	87.93	1	caught	1	v South Africa	Harare	27-Aug-14	Aaron Finch	Australia	Batting					Aaron Finch
	26	11	22	12	2	0	91.66	1	bowled	1	v Zimbabwe	Harare	31-Aug-14	Aaron Finch	Australia	Batting					Aaron Finch
	27	16	42	36	1	0	44.44	1	caught	1	v South Africa	Harare	02-Sep-14	Aaron Finch	Australia	Batting					Aaron Finch
	28	54	115	87	5	0	62.06	1	bowled	1	v South Africa	Harare	06-Sep-14	Aaron Finch	Australia	Batting					Aaron Finch
	29	0	1	1	0	0	0	1	caught	1	v Pakistan	Sharjah	07-Oct-14	Aaron Finch	Australia	Batting					Aaron Finch
	30	14	18	12	3	0	116.66	2	caught	2	v Pakistan	Dubai (DICS)	10-Oct-14	Aaron Finch	Australia	Batting					Aaron Finch
	31	18	45	34	3	0	52.94	1	caught	1	v Pakistan	Abu Dhabi	12-Oct-14	Aaron Finch	Australia	Batting					Aaron Finch
	32	35	72	40	4	1	87.5	2	caught	1	v South Africa	W.A.C.A	14-Nov-14	Aaron Finch	Australia	Batting					Aaron Finch
	33	8	22	14	0	1	57.14	2	caught	1	v South Africa	W.A.C.A	16-Nov-14	Aaron Finch	Australia	Batting					Aaron Finch
	34	109	167	127	9	3	85.82	1	bowled	1	v South Africa	Canberra	19-Nov-14	Aaron Finch	Australia	Batting					Aaron Finch
	35	22	59	37	2	0	59.45	1	caught	2	v South Africa	Melbourne	21-Nov-14	Aaron Finch	Australia	Batting					Aaron Finch
	36	76	85	67	11	0	113.43	2	caught	2	v South Africa	Sydney	23-Nov-14	Aaron Finch	Australia	Batting					Aaron Finch
	37	15	24	18	3	0	83.33	2	bowled	2	v England	Sydney	16-Jan-15	Aaron Finch	Australia	Batting					Aaron Finch
	38	96	161	127	5	2	75.59	1	caught	2	v India	Melbourne	18-Jan-15	Aaron Finch	Australia	Batting					Aaron Finch
	39	32	49	32	3	0	100	1	bowled	2	v England	Hobart	23-Jan-15	Aaron Finch	Australia	Batting					Aaron Finch
	40		-	-	-	-	-	-	-	-	v India	Sydney	26-Jan-15	Aaron Finch	Australia	Batting					Aaron Finch
	41	0	2	3	0	0	0	1	caught	1	v England	W.A.C.A	01-Feb-15	Aaron Finch	Australia	Batting					Aaron Finch
	42	135	158	128	12	3	105.46	2	run out	1	v England	Melbourne	14-Feb-15	Aaron Finch	Australia	Batting					Aaron Finch
	43	14	10	7	1	1	200	1	bowled	1	v New Zealand	Auckland	28-Feb-15	Aaron Finch	Australia	Batting					Aaron Finch
	44	4	14	9	0	0	44.44	2	caught	1	v Afghanistan	W.A.C.A	04-Mar-15	Aaron Finch	Australia	Batting					Aaron Finch
	45	24	38	24	3	0	100	1	stumped	1	v Sri Lanka	Sydney	08-Mar-15	Aaron Finch	Australia	Batting					Aaron Finch
	46	20	14	10	3	1	200	2	caught	2	v Scotland	Hobart	14-Mar-15	Aaron Finch	Australia	Batting					Aaron Finch
	47	2	11	5	0	0	40	2	lbw	2	v Pakistan	Adelaide	20-Mar-15	Aaron Finch	Australia	Batting					Aaron Finch
	48	81	160	116	7	1	69.82	1	caught	1	v India	Sydney	26-Mar-15	Aaron Finch	Australia	Batting					Aaron Finch
	49	0	7	5	0	0	0	2	caught	2	v New Zealand	Melbourne	29-Mar-15	Aaron Finch	Australia	Batting					Aaron Finch
	50	53	86	60	8	0	88.33	2	caught	2	v England	Manchester	08-Sep-15	Aaron Finch	Australia	Batting					Aaron Finch
	51	15	37	27	2	0	55.55	2	caught	1	v England	Leeds	11-Sep-15	Aaron Finch	Australia	Batting					Aaron Finch
	52		94	64	11	1	109.37	2	not out	2	v England	Manchester	13-Sep-15	Aaron Finch	Australia	Batting					Aaron Finch
	53	8	11	11	1	0	72.72	1	caught	2	v India	W.A.C.A	12-Jan-16	Aaron Finch	Australia	Batting					Aaron Finch
	54	71	97	81	7	1	87.65	1	caught	2	v India	Brisbane	15-Jan-16	Aaron Finch	Australia	Batting					Aaron Finch
	55	21	30	23	3	0	91.3	2	caught	2	v India	Melbourne	17-Jan-16	Aaron Finch	Australia	Batting					Aaron Finch
	56	107	153	107	9	2	100	2	caught	1	v India	Canberra	20-Jan-16	Aaron Finch	Australia	Batting					Aaron Finch
	57	6	4	6	1	0	100	1	lbw	1	v India	Sydney	23-Jan-16	Aaron Finch	Australia	Batting					Aaron Finch
	58	19	33	30	4	0	63.33	2	lbw	2	v West Indies	Providence	05-Jun-16	Aaron Finch	Australia	Batting					Aaron Finch
	59	72	134	103	6	3	69.9	2	caught	2	v South Africa	Providence	07-Jun-16	Aaron Finch	Australia	Batting					Aaron Finch
	60	13	55	28	2	0	46.42	2	bowled	1	v South Africa	Basseterre	11-Jun-16	Aaron Finch	Australia	Batting					Aaron Finch
